T[C] ,A,,,,,,,,,,,,,,,
21,0.1217,,,,,,,,,,,,,,, 
21,0.1262,,,,,,,,,,,,,,, 
21,0.1344,,,,,,,,,,,,,,, 
25,0.1439,,,,,,,,,,,,,,, 
25,0.1378,,,,,,,,,,,,,,, 
25,0.1262,,,,,,,,,,,,,,, 
30,0.1472,,,,,,,,,,,,,,, 
30,0.1414,,,,,,,,,,,,,,, 
30,0.1417,,,,,,,,,,,,,,, 
35,0.1686,,,,,,,,,,,,,,, 
35,0.1657,,,,,,,,,,,,,,, 
35,0.1615,,,,,,,,,,,,,,, 
40,0.1954,,,,,,,,,,,,,,, 
40,0.1915,,,,,,,,,,,,,,, 
40,0.1888,,,,,,,,,,,,,,, 
45,0.2168,,,,,,,,,,,,,,, 
45,0.2135,,,,,,,,,,,,,,, 
45,0.2118,,,,,,,,,,,,,,, 
50,0.2605,,,,,,,,,,,,,,, 
50,0.2672,,,,,,,,,,,,,,, 
50,0.2717,,,,,,,,,,,,,,, 
