T [C] ,A,,,,,,,,,,,,,,,
20,0.0967,,,,,,,,,,,,,,, 
20,0.0969,,,,,,,,,,,,,,, 
20,0.0998,,,,,,,,,,,,,,, 
26,0.1153,,,,,,,,,,,,,,, 
26,0.1148,,,,,,,,,,,,,,, 
26,0.1112,,,,,,,,,,,,,,, 
30,0.1425,,,,,,,,,,,,,,, 
30,0.1374,,,,,,,,,,,,,,, 
30,0.136,,,,,,,,,,,,,,, 
40,0.1855,,,,,,,,,,,,,,, 
40,0.1853,,,,,,,,,,,,,,, 
40,0.1815,,,,,,,,,,,,,,, 
45,0.1811,,,,,,,,,,,,,,, 
45,0.1757,,,,,,,,,,,,,,, 
45,0.1793,,,,,,,,,,,,,,, 
50,0.2075,,,,,,,,,,,,,,, 
50,0.2162,,,,,,,,,,,,,,, 
50,0.2207,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
