T[C] ,A,,,,,,,,,,,,,
21,0.0659,,,,,,,,,,,,,
21,0.0692,,,,,,,,,,,,,
21,0.0708,,,,,,,,,,,,,
25,0.1033,,,,,,,,,,,,,
25,0.1063,,,,,,,,,,,,,
25,0.1069,,,,,,,,,,,,,
30,0.1427,,,,,,,,,,,,, 
30,0.1453,,,,,,,,,,,,, 
35,0.1723,,,,,,,,,,,,, 
35,0.1739,,,,,,,,,,,,, 
35,0.1741,,,,,,,,,,,,, 
40,0.1872,,,,,,,,,,,,, 
40,0.1875,,,,,,,,,,,,, 
40,0.1868,,,,,,,,,,,,, 
45,0.2253,,,,,,,,,,,,, 
45,0.2269,,,,,,,,,,,,, 
45,0.2296,,,,,,,,,,,,, 
50,0.2448,,,,,,,,,,,,, 
50,0.2497,,,,,,,,,,,,, 
50,0.2489,,,,,,,,,,,,, 
50,0.2209,,,,,,,,,,,,,
